A,B
052bb25d-c201-406f-8363-030f6aaa7b21,9bfab8bd-1778-4284-b9d1-d6148ed656d6
053ffab7-281d-4630-859e-b1e422a926ae,a75064cb-d147-4b36-acaf-89b2c35f4925
053ffab7-281d-4630-859e-b1e422a926ae,aa2dd224-7ab5-4db5-8ffe-56924c27df7a
057f18a6-b179-4237-85e0-258f437ea806,8eb90618-ee21-4b13-8da7-a0f232cd7c02
057f18a6-b179-4237-85e0-258f437ea806,e03d6f79-ab7c-4c83-881b-087703d2dc3e
0707b1c1-8e6e-4187-b4a6-336900aa48ae,0d785a07-5d1d-4635-b8e4-80895c6824b3
150c6fe0-af52-4e6f-bb1e-b57e77359c9b,27cbc7a9-2fa6-4460-a8c5-e0910a9b36b9
150c6fe0-af52-4e6f-bb1e-b57e77359c9b,8ef01d59-b92e-40f6-bb06-6993a168ecac
17ff4829-00e5-461a-9132-2d1131890e21,a75064cb-d147-4b36-acaf-89b2c35f4925
17ff4829-00e5-461a-9132-2d1131890e21,aa2dd224-7ab5-4db5-8ffe-56924c27df7a
1bc62fc4-380c-42d7-aa05-cafd36a2e77e,10842eab-be28-4ef1-ab85-1b17855e2a47
1bc62fc4-380c-42d7-aa05-cafd36a2e77e,a76312bb-637c-4cdd-beff-34068ca5e29a
1bd98197-bcb9-4bc6-898b-c71716752cd5,93b79f93-db72-4563-b0e2-ff8e5142ef88
1f40c88a-f527-4789-9544-7e59a5610f92,8eb90618-ee21-4b13-8da7-a0f232cd7c02
1f40c88a-f527-4789-9544-7e59a5610f92,e03d6f79-ab7c-4c83-881b-087703d2dc3e
1f5a04da-4945-4232-98ff-0d27bf5e3229,a083cc3c-dd4f-462f-ae98-08afee0c7eb6
2547431c-b202-4549-bf48-dc0a42ec51dd,aa2dd224-7ab5-4db5-8ffe-56924c27df7a
26d76936-97ab-4b64-9402-c57b30b57e9e,c82a3152-8ce7-49c0-828c-548181c77ad1
26e5949d-67ca-49ee-97af-2fff031ebc1f,44ef446e-58bb-4968-b650-203b0bf25c70
26e5949d-67ca-49ee-97af-2fff031ebc1f,c82a3152-8ce7-49c0-828c-548181c77ad1
29df12d4-5a7c-422a-a5cf-05ec1feb6077,57949167-370a-4bc3-856f-4d32a7de942b
2b44fb93-77b0-45c8-b00f-565767381ba6,1748a913-66fa-4779-b94e-d6d7cfacc7ea
2b44fb93-77b0-45c8-b00f-565767381ba6,a5d4beda-c083-4d0c-b67a-e6f4d0ed6814
2dd7031b-da0c-455b-a195-a0d836c41cd4,a083cc3c-dd4f-462f-ae98-08afee0c7eb6
2dd7031b-da0c-455b-a195-a0d836c41cd4,af5baed8-1fcd-440f-8de2-ef1c57c12fe0
2e388931-4a3f-4cc9-a693-f6aaa063ab04,9bfab8bd-1778-4284-b9d1-d6148ed656d6
2ef8dfba-1b66-4cc5-bd86-1d918716acf5,57949167-370a-4bc3-856f-4d32a7de942b
3bdb927e-22b6-416a-bf29-5512495f01a0,624299d8-50ef-4a58-b4d8-b9dcc1c01f15
3bdb927e-22b6-416a-bf29-5512495f01a0,684c3b2d-7ed7-4071-b714-c09c3bd8bf12
3e710ed0-8f65-4ae6-b2eb-a799979fbbbf,8d001ad6-af2f-47a6-8ffc-02a31313f961
3f46842b-57fd-422f-b801-2918d0346bc3,9bfab8bd-1778-4284-b9d1-d6148ed656d6
3f46842b-57fd-422f-b801-2918d0346bc3,d3a5adb5-3f76-42a8-8ef7-3ae2ccbb14d0
416a2161-8312-470d-9522-15452fa23c90,27cbc7a9-2fa6-4460-a8c5-e0910a9b36b9
416a2161-8312-470d-9522-15452fa23c90,8ef01d59-b92e-40f6-bb06-6993a168ecac
4f6ab05b-d36a-49d6-abe4-4ba9ee35f8c6,4943ba01-66b8-4f2a-9a1b-b38e66436c6a
5123161d-fda0-4582-a3ab-52e99d9758d4,8eb90618-ee21-4b13-8da7-a0f232cd7c02
5123161d-fda0-4582-a3ab-52e99d9758d4,e03d6f79-ab7c-4c83-881b-087703d2dc3e
52477180-e116-49bc-9dce-024e1ad5910f,1748a913-66fa-4779-b94e-d6d7cfacc7ea
52477180-e116-49bc-9dce-024e1ad5910f,a5d4beda-c083-4d0c-b67a-e6f4d0ed6814
53e59ae6-42bd-4da6-bd9f-dc0f5ca9198e,8eb90618-ee21-4b13-8da7-a0f232cd7c02
53e59ae6-42bd-4da6-bd9f-dc0f5ca9198e,e03d6f79-ab7c-4c83-881b-087703d2dc3e
5a623de0-a5c0-4d29-8eb3-6acd8ade5926,be2fdca4-39d1-4fee-8654-8cd17a3f7307
5a623de0-a5c0-4d29-8eb3-6acd8ade5926,cf154bc2-04f0-4d84-9170-fdb46ff5614e
5a809280-fc34-44b6-8c49-23ce28b00225,fcd80738-202f-4cee-91b0-f8b137d80377
5aa4fa7a-a2bd-42e7-9e3c-398fc4236911,624299d8-50ef-4a58-b4d8-b9dcc1c01f15
5b7c1892-6dc0-4540-8b2f-fa25507a5339,40a29ea5-840f-4e22-bf3e-0f1dda67d862
5b7c1892-6dc0-4540-8b2f-fa25507a5339,57949167-370a-4bc3-856f-4d32a7de942b
60ee0443-1b9d-40fd-ae16-4219dc605e62,8d001ad6-af2f-47a6-8ffc-02a31313f961
6c3c9e1d-6162-4345-a6e9-a0d82c41d803,8eb90618-ee21-4b13-8da7-a0f232cd7c02
6c3c9e1d-6162-4345-a6e9-a0d82c41d803,e03d6f79-ab7c-4c83-881b-087703d2dc3e
6c478489-0afc-4988-b0bf-5ccbc4aaa202,0d785a07-5d1d-4635-b8e4-80895c6824b3
707bd10e-27cc-408a-afb0-123ce17e56c8,27cbc7a9-2fa6-4460-a8c5-e0910a9b36b9
707bd10e-27cc-408a-afb0-123ce17e56c8,8ef01d59-b92e-40f6-bb06-6993a168ecac
7408df4a-5ad7-45fd-aee7-aaa45f2b262e,be2fdca4-39d1-4fee-8654-8cd17a3f7307
7408df4a-5ad7-45fd-aee7-aaa45f2b262e,cf154bc2-04f0-4d84-9170-fdb46ff5614e
75bbe5cd-853f-4439-99e8-a920b5017193,c82a3152-8ce7-49c0-828c-548181c77ad1
7747c9e8-7c3b-4c5b-a000-7e909c213fa5,4943ba01-66b8-4f2a-9a1b-b38e66436c6a
79a6e622-a436-464f-bd2c-a50e42337aa5,aa2dd224-7ab5-4db5-8ffe-56924c27df7a
7cb8e45f-05b1-42ce-9728-46fc0e7c62ca,44ef446e-58bb-4968-b650-203b0bf25c70
7cb8e45f-05b1-42ce-9728-46fc0e7c62ca,c82a3152-8ce7-49c0-828c-548181c77ad1
80e4a6da-6396-4562-be68-55f4d0580e1b,0d785a07-5d1d-4635-b8e4-80895c6824b3
820d6c88-aa5c-472d-a8a7-88ad075562a1,27cbc7a9-2fa6-4460-a8c5-e0910a9b36b9
820d6c88-aa5c-472d-a8a7-88ad075562a1,8ef01d59-b92e-40f6-bb06-6993a168ecac
843ee5ad-fe94-4022-bf81-1d9a58733ab2,4943ba01-66b8-4f2a-9a1b-b38e66436c6a
843ee5ad-fe94-4022-bf81-1d9a58733ab2,8c1fff00-d221-400e-aba5-d1644862e15e
88471e64-bdda-40c2-aa57-f4f4f29ace55,be2fdca4-39d1-4fee-8654-8cd17a3f7307
893fd440-bc13-4360-b2e6-6738f1b989d2,624299d8-50ef-4a58-b4d8-b9dcc1c01f15
893fd440-bc13-4360-b2e6-6738f1b989d2,684c3b2d-7ed7-4071-b714-c09c3bd8bf12
9647e690-8d32-438b-afe1-8710e7a4896a,0d785a07-5d1d-4635-b8e4-80895c6824b3
9647e690-8d32-438b-afe1-8710e7a4896a,c8bb194f-4279-4536-8ba4-0e03167c4d97
96fa5ac4-3e0a-40aa-8aec-9bf0b2d93b99,a5d4beda-c083-4d0c-b67a-e6f4d0ed6814
987988d1-4c24-4ba8-9290-c3977cb4966b,4943ba01-66b8-4f2a-9a1b-b38e66436c6a
990fa3b5-41e4-47fa-a31c-c8613e9a8058,93b79f93-db72-4563-b0e2-ff8e5142ef88
9b5e54c6-c628-4397-9ed3-fc47b1da0fb7,93b79f93-db72-4563-b0e2-ff8e5142ef88
a737c045-2754-414a-9457-a86a732654b9,27cbc7a9-2fa6-4460-a8c5-e0910a9b36b9
a737c045-2754-414a-9457-a86a732654b9,8ef01d59-b92e-40f6-bb06-6993a168ecac
a739a3b4-028e-4701-b980-44a997685936,10842eab-be28-4ef1-ab85-1b17855e2a47
a739a3b4-028e-4701-b980-44a997685936,a76312bb-637c-4cdd-beff-34068ca5e29a
a8406fcf-0351-46fd-8e4f-074bbf8f7851,40a29ea5-840f-4e22-bf3e-0f1dda67d862
a8406fcf-0351-46fd-8e4f-074bbf8f7851,57949167-370a-4bc3-856f-4d32a7de942b
ac45ce93-55d2-4375-aacb-02de774cd759,10842eab-be28-4ef1-ab85-1b17855e2a47
ac463b7f-2d1a-4c0c-bf84-88c485fe438c,93b79f93-db72-4563-b0e2-ff8e5142ef88
ad03791c-d0a7-4942-8ea3-aaea23d1c326,4943ba01-66b8-4f2a-9a1b-b38e66436c6a
ad03791c-d0a7-4942-8ea3-aaea23d1c326,8c1fff00-d221-400e-aba5-d1644862e15e
af61145b-ba7d-4d79-81ac-504813a467eb,a5d4beda-c083-4d0c-b67a-e6f4d0ed6814
b31fdd27-f2ef-4037-bd25-ea1cb5f25c26,a75064cb-d147-4b36-acaf-89b2c35f4925
b31fdd27-f2ef-4037-bd25-ea1cb5f25c26,aa2dd224-7ab5-4db5-8ffe-56924c27df7a
b6fadc97-c2d5-4bbe-b5c4-c1f7d5817846,9bfab8bd-1778-4284-b9d1-d6148ed656d6
b9a3c500-ac5f-4363-86f8-e8025509c5f7,a5d4beda-c083-4d0c-b67a-e6f4d0ed6814
ba9e8d2c-b6d5-4905-a324-48022cfa7dc7,7af59c11-a14c-4969-b3b7-5a99a91144de
ba9e8d2c-b6d5-4905-a324-48022cfa7dc7,8d001ad6-af2f-47a6-8ffc-02a31313f961
c10acbb2-ab7a-4335-a8f8-d24da4fd92e3,624299d8-50ef-4a58-b4d8-b9dcc1c01f15
c12864ed-f0db-4c71-a8cf-0d63e8953e80,a083cc3c-dd4f-462f-ae98-08afee0c7eb6
c12864ed-f0db-4c71-a8cf-0d63e8953e80,af5baed8-1fcd-440f-8de2-ef1c57c12fe0
c5668c5c-90fd-4ca4-875c-809c7d90920c,9a57425c-de0d-4553-bf4f-9222772c4914
c5668c5c-90fd-4ca4-875c-809c7d90920c,fcd80738-202f-4cee-91b0-f8b137d80377
c5b9f344-b4c8-44f1-8cea-6212ff4c2296,624299d8-50ef-4a58-b4d8-b9dcc1c01f15
c5b9f344-b4c8-44f1-8cea-6212ff4c2296,684c3b2d-7ed7-4071-b714-c09c3bd8bf12
d4d546dc-8d9e-4924-adf8-b5c360ce8570,c82a3152-8ce7-49c0-828c-548181c77ad1
d50b6606-93ec-4005-8b3d-c9d7f209acd6,10842eab-be28-4ef1-ab85-1b17855e2a47
d50b6606-93ec-4005-8b3d-c9d7f209acd6,a76312bb-637c-4cdd-beff-34068ca5e29a
d6e0ff49-bc1d-47d4-9ab4-f108ab0be32a,0d785a07-5d1d-4635-b8e4-80895c6824b3
de69f046-2e3c-4d43-aff3-517e5043d0a1,7af59c11-a14c-4969-b3b7-5a99a91144de
de69f046-2e3c-4d43-aff3-517e5043d0a1,8d001ad6-af2f-47a6-8ffc-02a31313f961
def70e85-3b16-49aa-8859-8ec527d0b5a8,be2fdca4-39d1-4fee-8654-8cd17a3f7307
dfe5ce81-50bc-4593-913b-c2e8c26aca4a,fcd80738-202f-4cee-91b0-f8b137d80377
e5737a44-240a-4d28-ab52-a84804a05335,9bfab8bd-1778-4284-b9d1-d6148ed656d6
ec32a69c-5759-4cf0-b737-6bea8e09090d,10842eab-be28-4ef1-ab85-1b17855e2a47
ec32a69c-5759-4cf0-b737-6bea8e09090d,a76312bb-637c-4cdd-beff-34068ca5e29a
ed59043a-cf42-46dc-9000-0377168a24d5,a083cc3c-dd4f-462f-ae98-08afee0c7eb6
ed59043a-cf42-46dc-9000-0377168a24d5,af5baed8-1fcd-440f-8de2-ef1c57c12fe0
f0b7d33f-4c85-446d-a7b8-edb9326b72ad,93b79f93-db72-4563-b0e2-ff8e5142ef88
f0b7d33f-4c85-446d-a7b8-edb9326b72ad,f0bff14b-9b86-430c-b060-e19d9fd3d575
f11b680d-c64b-4a12-8897-4261c683e070,9a57425c-de0d-4553-bf4f-9222772c4914
f11b680d-c64b-4a12-8897-4261c683e070,fcd80738-202f-4cee-91b0-f8b137d80377
f9d837da-0ce6-4dcc-ba8c-4cccfc1737a5,8d001ad6-af2f-47a6-8ffc-02a31313f961
fbd4d567-0bf1-4609-b335-a26a9936085e,a083cc3c-dd4f-462f-ae98-08afee0c7eb6
fc5eda10-0ddd-4cd6-9e85-9d7d46676e83,fcd80738-202f-4cee-91b0-f8b137d80377
fe82d630-0dfe-4d9d-9149-68eb5d1385ad,be2fdca4-39d1-4fee-8654-8cd17a3f7307
fe82d630-0dfe-4d9d-9149-68eb5d1385ad,cf154bc2-04f0-4d84-9170-fdb46ff5614e
feb30a46-f5c9-4baf-8bef-c5b288b2eced,57949167-370a-4bc3-856f-4d32a7de942b